config,model,y,term,coef,std_error,t_stat,p_value,r_squared,n_obs,logged_vars_used
A,LSTM,var_mse_across_horizons,log_batch_size,3.523007366124038e-05,3.0424114805053426e-05,1.1579654457321693,0.24687813786550672,0.5197569088789267,35,"learning_rate,batch_size,epochs,patience,units"
A,LSTM,var_mse_across_horizons,log_epochs,6.851265625627529e-05,2.8030273725226727e-05,2.4442378596758108,0.014515852732091411,0.5197569088789267,35,"learning_rate,batch_size,epochs,patience,units"
A,LSTM,var_mse_across_horizons,log_patience,-6.701766183803843e-05,6.527733764845106e-05,-1.026660465213208,0.304580371481046,0.5197569088789267,35,"learning_rate,batch_size,epochs,patience,units"
A,LSTM,var_mse_across_horizons,log_units,4.5053372437885386e-05,4.445090928701478e-05,1.0135534494239604,0.3107958796041803,0.5197569088789267,35,"learning_rate,batch_size,epochs,patience,units"
A,LSTM,var_mse_across_horizons,num_layers,-9.267239221330632e-05,4.1789259424809904e-05,-2.217612694956914,0.026581251557878823,0.5197569088789267,35,"learning_rate,batch_size,epochs,patience,units"
A,LSTM,var_mse_across_horizons,dropout,-0.0010265958853172893,0.0003244430399939643,-3.1641790970038604,0.001555210613429706,0.5197569088789267,35,"learning_rate,batch_size,epochs,patience,units"
A,LSTM,var_mse_across_horizons,recurrent_dropout,0.00015191670001157026,0.00021471742379970766,0.7075192004598608,0.4792438850592382,0.5197569088789267,35,"learning_rate,batch_size,epochs,patience,units"
A,GRU,global_mse,const,0.05024001344315453,0.04537063442576982,1.1073244639184276,0.2681536709896739,0.7774612145384967,35,"learning_rate,batch_size,epochs,patience,units"
A,GRU,global_mse,log_learning_rate,-0.023005858312891474,0.003523973032204831,-6.528386597356418,6.64819186610805e-11,0.7774612145384967,35,"learning_rate,batch_size,epochs,patience,units"
A,GRU,global_mse,log_batch_size,-0.00546614783375354,0.005664385794224619,-0.9650027438679757,0.3345434374568049,0.7774612145384967,35,"learning_rate,batch_size,epochs,patience,units"
A,GRU,global_mse,log_epochs,-0.010795722530068608,0.004574774060238871,-2.359837313912047,0.01828295092950396,0.7774612145384967,35,"learning_rate,batch_size,epochs,patience,units"
A,GRU,global_mse,log_patience,-0.022876759797715106,0.00833091899050356,-2.7460067519312568,0.0060325522080964325,0.7774612145384967,35,"learning_rate,batch_size,epochs,patience,units"
A,GRU,global_mse,log_units,0.005107180785551592,0.0052411520151332365,0.9744385911351516,0.32983881599744125,0.7774612145384967,35,"learning_rate,batch_size,epochs,patience,units"
A,GRU,global_mse,num_layers,-0.0013143991793903595,0.004842000845533152,-0.27145785829486596,0.7860389074057688,0.7774612145384967,35,"learning_rate,batch_size,epochs,patience,units"
A,GRU,global_mse,dropout,-0.08588673585083319,0.030656584268915644,-2.8015755146576575,0.005085373785033765,0.7774612145384967,35,"learning_rate,batch_size,epochs,patience,units"
A,GRU,global_mse,recurrent_dropout,0.01696488986051352,0.0288988658546148,0.5870434482052322,0.55717452679165,0.7774612145384967,35,"learning_rate,batch_size,epochs,patience,units"
A,GRU,var_mse_across_horizons,const,-0.0020122290604072876,0.0016215127459890163,-1.2409579051319513,0.21462129980097788,0.42535371492481666,35,"learning_rate,batch_size,epochs,patience,units"
A,GRU,var_mse_across_horizons,log_learning_rate,-0.000650435893291201,0.0004207857919623682,-1.5457648659139396,0.12216136509525936,0.42535371492481666,35,"learning_rate,batch_size,epochs,patience,units"
A,GRU,var_mse_across_horizons,log_batch_size,-7.354731095980137e-05,0.00021197680738432038,-0.34695923515093735,0.7286219442221028,0.42535371492481666,35,"learning_rate,batch_size,epochs,patience,units"
A,GRU,var_mse_across_horizons,log_epochs,-0.0005427843102681345,0.000372899519024859,-1.4555779307185168,0.14550933254520787,0.42535371492481666,35,"learning_rate,batch_size,epochs,patience,units"
A,GRU,var_mse_across_horizons,log_patience,0.000387254534378446,0.00035950509345052817,1.077187893672323,0.28139633266474284,0.42535371492481666,35,"learning_rate,batch_size,epochs,patience,units"
A,GRU,var_mse_across_horizons,log_units,-0.00010753538351028979,0.0002558142248174186,-0.4203651442254263,0.6742187270442819,0.42535371492481666,35,"learning_rate,batch_size,epochs,patience,units"
A,GRU,var_mse_across_horizons,num_layers,-1.0733699290204536e-05,0.00017595300657325492,-0.061003216138484966,0.9513566477199554,0.42535371492481666,35,"learning_rate,batch_size,epochs,patience,units"
A,GRU,var_mse_across_horizons,dropout,0.0007974210299608956,0.0020177863148613103,0.39519597495917463,0.6926982629519901,0.42535371492481666,35,"learning_rate,batch_size,epochs,patience,units"
A,GRU,var_mse_across_horizons,recurrent_dropout,-0.0010535721335449715,0.0015323882705072921,-0.6875360206171443,0.4917450099592281,0.42535371492481666,35,"learning_rate,batch_size,epochs,patience,units"
