model,horizon,iteration_id,MSE,R2
GRU,16,2,0.0708589599047769,0.4173171998051747
GRU,17,2,0.0715475708390774,0.4116114539410364
GRU,18,2,0.0722311583172865,0.4059458033488522
GRU,19,2,0.0768269683846669,0.3681010513674513
GRU,20,2,0.0772568283324166,0.3645174739613999
GRU,21,2,0.0777212164523995,0.3606484339949921
GRU,22,2,0.0803009722589186,0.3393772430300468
GRU,23,2,0.0800491534972147,0.3414011122747382
GRU,24,2,0.0817568086436288,0.32730429048358
GRU,25,2,0.0825216768348046,0.3209648102496591
GRU,26,2,0.0843462506612089,0.3059047775596146
GRU,27,2,0.0861368116455625,0.2911232137245033
GRU,28,2,0.0865727881064448,0.2874887837526766
GRU,29,2,0.0874124262031194,0.2805323751126041
GRU,30,2,0.0877816967222148,0.2774483592897293
GRU,31,2,0.0860893274411711,0.2913364236297073
GRU,32,2,0.0870282923726027,0.2835660486976932
GRU,33,2,0.0876305821646244,0.2785767471637376
GRU,34,2,0.0881658761190967,0.2741539404722587
GRU,35,2,0.0876874173700821,0.2780810710559656
GRU,36,2,0.0867894105463871,0.2854636522011302
GRU,37,2,0.0881837782048917,0.2739742381576781
GRU,38,2,0.0873521128988654,0.280812257161424
GRU,39,2,0.0873489601483958,0.280829568050451
GRU,40,2,0.0876964279896219,0.2779630276226164
GRU,41,2,0.0874934436477875,0.2796305431491229
GRU,42,2,0.0893417801909025,0.2644058618394005
GRU,43,2,0.0893095404397149,0.2646598066794849
GRU,44,2,0.0886271414701369,0.2702617095586201
GRU,45,2,0.0892424166277209,0.2651736442361558
GRU,46,2,0.0903424246919809,0.2560919605619439
GRU,47,2,0.0908680657333601,0.2517385304144612
GRU,48,2,0.0926324105111512,0.2371834214851705
GRU,49,2,0.0923476066477132,0.239501578024176
GRU,50,2,0.0930296135813134,0.2338569800041562
GRU,51,2,0.0944435176877765,0.2221837755744548
GRU,52,2,0.0943222537743225,0.2231534226110599
GRU,53,2,0.0940436076326856,0.2254191507321197
GRU,54,2,0.0944416646427411,0.2221109870002294
GRU,55,2,0.0929073708937737,0.2347191495462632
GRU,56,2,0.0940248955515514,0.2254840816186299
GRU,57,2,0.0967434695247226,0.2030591284673744
GRU,58,2,0.0953691372697728,0.2143494328481678
GRU,59,2,0.0963739005165466,0.2060396328138569
GRU,60,2,0.0955148113701434,0.2130835002391912
GRU,61,2,0.0985631467160773,0.187934208425766
GRU,62,2,0.0976563413780433,0.1953732325942453
GRU,63,2,0.0976813605066903,0.1951513952518396
GRU,64,2,0.0971338196815826,0.1996609238252862
GRU,65,2,0.0981318909504456,0.1914370296723546
GRU,66,2,0.0982625467298718,0.1903545890930641
GRU,67,2,0.0987450505032006,0.1863720737976913
GRU,68,2,0.0989940276214597,0.1843168047328037
GRU,69,2,0.099409572593733,0.180891396405139
GRU,70,2,0.0986714382376291,0.1869744282807524
GRU,71,2,0.0984920899908743,0.188450340299873
GRU,72,2,0.0986430654915229,0.1872054408426934
GRU,1,3,0.0423008323829459,0.652525352686928
GRU,2,3,0.0410850713757756,0.6624868593515447
GRU,3,3,0.0397793228841674,0.6731894335410977
GRU,4,3,0.0391906758334768,0.6780020202897514
GRU,5,3,0.0391419777641164,0.6783789436523506
GRU,6,3,0.0392962797028419,0.6770880792708327
GRU,7,3,0.0396894540634333,0.6738342797590255
GRU,8,3,0.0402202942740154,0.669448910434413
GRU,9,3,0.0412551310627787,0.6609208496625012
GRU,10,3,0.0422887449224416,0.6524018513010621
GRU,11,3,0.0439998170265208,0.6383125676573378
GRU,12,3,0.0457729570053416,0.6237107631792733
GRU,13,3,0.0478701326693193,0.606442560867793
GRU,14,3,0.0500355761153296,0.5886103005110596
GRU,15,3,0.0517421603860167,0.5745481869888128
GRU,16,3,0.0539930098423068,0.5560081857235784
GRU,17,3,0.0565259294072047,0.5351455118812851
GRU,18,3,0.0587605049829049,0.5167331468076248
GRU,19,3,0.0605858227857405,0.5016838679789934
GRU,20,3,0.0626875834989348,0.4843580202160156
GRU,21,3,0.0647512222119659,0.467342416760635
GRU,22,3,0.0661789695113322,0.4555566132992729
GRU,23,3,0.067761411770383,0.4424976595883615
GRU,24,3,0.0687146061625665,0.4346156422499838
GRU,25,3,0.0703357994576495,0.4212371250456294
GRU,26,3,0.0714651647028864,0.4119047497389044
GRU,27,3,0.0724231251422213,0.4039822089759132
GRU,28,3,0.0732502078252433,0.3971362617574291
GRU,29,3,0.0740428561344091,0.3905736271509482
GRU,30,3,0.074777959193558,0.3844851589591403
