config,model,y,term,coef,std_error,t_stat,p_value,r_squared,n_obs,logged_vars_used
B,LSTM,var_mse_across_horizons,log_batch_size,-1.5249976627410911e-05,1.8068476669079364e-05,-0.8440100904304921,0.39866376707139684,0.33830785908583205,35,"learning_rate,batch_size,epochs,patience,units"
B,LSTM,var_mse_across_horizons,log_epochs,-1.2452405089303453e-05,9.6360749888702e-06,-1.2922694254337117,0.1962638563320852,0.33830785908583205,35,"learning_rate,batch_size,epochs,patience,units"
B,LSTM,var_mse_across_horizons,log_patience,-3.4859633967524e-06,2.6276579593631323e-05,-0.1326642755892512,0.8944588970226853,0.33830785908583205,35,"learning_rate,batch_size,epochs,patience,units"
B,LSTM,var_mse_across_horizons,log_units,-5.8686754718817715e-05,3.262724064277094e-05,-1.7987041981688592,0.07206548449122964,0.33830785908583205,35,"learning_rate,batch_size,epochs,patience,units"
B,LSTM,var_mse_across_horizons,num_layers,-4.5345405749147396e-05,1.2039056816412318e-05,-3.766524773546213,0.0001655356650821438,0.33830785908583205,35,"learning_rate,batch_size,epochs,patience,units"
B,LSTM,var_mse_across_horizons,dropout,-7.751899874667304e-05,8.510740639840619e-05,-0.9108372822899787,0.36238111535618867,0.33830785908583205,35,"learning_rate,batch_size,epochs,patience,units"
B,LSTM,var_mse_across_horizons,recurrent_dropout,-4.7930187709628315e-06,8.515357143190832e-05,-0.056286761557564166,0.9551133648621468,0.33830785908583205,35,"learning_rate,batch_size,epochs,patience,units"
B,GRU,global_mse,const,0.016125488937800213,0.03454260446779613,0.46682898369270076,0.6406222375175781,0.6802507025263711,35,"learning_rate,batch_size,epochs,patience,units"
B,GRU,global_mse,log_learning_rate,-0.01621656452730072,0.0031398434964156658,-5.164768417856806,2.407367875579226e-07,0.6802507025263711,35,"learning_rate,batch_size,epochs,patience,units"
B,GRU,global_mse,log_batch_size,0.004752308350101488,0.0034841457878170934,1.363980912256525,0.17257357323808653,0.6802507025263711,35,"learning_rate,batch_size,epochs,patience,units"
B,GRU,global_mse,log_epochs,-0.0038008525257468527,0.0024750664437982127,-1.5356567639913947,0.12462258435458837,0.6802507025263711,35,"learning_rate,batch_size,epochs,patience,units"
B,GRU,global_mse,log_patience,-0.005318131340595303,0.0062723121399845495,-0.8478741526100777,0.3965080607219843,0.6802507025263711,35,"learning_rate,batch_size,epochs,patience,units"
B,GRU,global_mse,log_units,-0.004818547751388883,0.004610828007237106,-1.0450504212748215,0.2959996665017648,0.6802507025263711,35,"learning_rate,batch_size,epochs,patience,units"
B,GRU,global_mse,num_layers,3.7721432797973783e-05,0.0034542514962099787,0.010920291368292645,0.9912870412921821,0.6802507025263711,35,"learning_rate,batch_size,epochs,patience,units"
B,GRU,global_mse,dropout,-0.06936572197798796,0.02569982704584983,-2.6990734939280294,0.006953281895000418,0.6802507025263711,35,"learning_rate,batch_size,epochs,patience,units"
B,GRU,global_mse,recurrent_dropout,0.007628657780783532,0.025733985396187428,0.2964429202603706,0.7668918518425192,0.6802507025263711,35,"learning_rate,batch_size,epochs,patience,units"
B,GRU,var_mse_across_horizons,const,9.552529294056393e-05,0.00029042743153601987,0.32891277671447,0.7422216167317813,0.22260178124346164,35,"learning_rate,batch_size,epochs,patience,units"
B,GRU,var_mse_across_horizons,log_learning_rate,-1.172195530610988e-05,4.3169918614400834e-05,-0.27153063249462817,0.785982943016753,0.22260178124346164,35,"learning_rate,batch_size,epochs,patience,units"
B,GRU,var_mse_across_horizons,log_batch_size,-1.3917804048958945e-05,2.106194133107722e-05,-0.6608034762884373,0.5087383531709775,0.22260178124346164,35,"learning_rate,batch_size,epochs,patience,units"
B,GRU,var_mse_across_horizons,log_epochs,2.2212855972041884e-05,1.498156744729373e-05,1.4826790354339334,0.13815970722311519,0.22260178124346164,35,"learning_rate,batch_size,epochs,patience,units"
B,GRU,var_mse_across_horizons,log_patience,6.043818488271364e-06,4.313517204737859e-05,0.1401134666075514,0.8885703407387587,0.22260178124346164,35,"learning_rate,batch_size,epochs,patience,units"
B,GRU,var_mse_across_horizons,log_units,9.963986537799021e-06,2.4743561157473553e-05,0.40269007659754325,0.6871762350093756,0.22260178124346164,35,"learning_rate,batch_size,epochs,patience,units"
B,GRU,var_mse_across_horizons,num_layers,3.5132068923501545e-05,3.2112312228017455e-05,1.0940373484799828,0.27393859818871846,0.22260178124346164,35,"learning_rate,batch_size,epochs,patience,units"
B,GRU,var_mse_across_horizons,dropout,-0.00038527761906759174,0.00024920074574706256,-1.546053234762975,0.12209171168633016,0.22260178124346164,35,"learning_rate,batch_size,epochs,patience,units"
B,GRU,var_mse_across_horizons,recurrent_dropout,-0.00025711034634247966,0.00019693122979357467,-1.3055844246338448,0.19169391985585937,0.22260178124346164,35,"learning_rate,batch_size,epochs,patience,units"
